ID	Name	Name Translation	Description	Description Translation
373	Mûmak	мумак$N2A	A massive elephantine form with eyes twisted by madness.	Огромная слоноподобная форма, с безумием в глазах. Это ужасное животное больше обычного слона в несколько раз, и агрессивнее на порядок.
374	Giant fire ant	огненн$AMT мурав*е*й^ь$N2E	A giant ant covered in shaggy fur.  Its powerful jaws glow with heat.	Гигантский муравей, покрытый спутанной шерстью. Его мощные челюсти горят от жара.
375	Mature white dragon	взросл$AMT бел$AMT дракон$N2A	A large dragon, scales gleaming bright white.	Большой дракон с блестящей ярко-белой чешуей.
376	Xorn	хорн$N2A	A huge creature of the element Earth.  Able to merge with its element, it has four huge arms protruding from its enormous torso.	Огромное существо Земли. Способное сливаться со своим элементом, оно имеет четыре большие руки, растущие из его чудовищного торса.
377	Shadow	старш$AFM тен$N3	A mighty spirit of darkness of vaguely humanoid form.  Razor-edged claws reach out to end your life as it glides towards you, seeking to suck the energy from your soul to feed its power.	Могучий дух тьмы, в форме, похожей на человеческую. Острые как бритвы когти готовятся прекратить вашу жизнь. Он летит к вам, чтобы высосать вашу душу. Воистину в этом существе не осталось ни капли от того, чем оно было при жизни.
378	Phantom	фантом$N2A	An unholy creature of darkness, the aura emanating from this evil being saps your very soul.	Нечестивое существо тьмы. Исходящая от него аура поглощает саму вашу душу.
379	Grey wraith	сер$AMT призрак$N2A	A tangible but ghostly form, made of grey fog.  The air around it feels deathly cold.	Видимая, но призрачная форма, состоящая из серого тумана. Воздух возле нее становится смертельно холодным.
380	Young multi-hued dragon	молод$AMU многоцветн$AMT дракон$N2A	It has a form that legends are made of.  Beautiful scales of shimmering and magical colours cover it.	О таких драконах были сложены легенды. Его покрывает красивая сверкающая волшебными цветами чешуя. Вы невольно восхищаетесь силой и красотой этого существа. Неужели вам нужно сражаться с ним?
381	Colossus	колосс$N2A	An enormous construct resembling a titan made from stone.  It strides purposefully towards you, swinging its slow fists with earth-shattering power.	Гигантская статуя титана, вырубленная из камня. Она направляет к вам с очевидной целью, мерно покачивая огромными кулаками. Ее удар может разкрошить в пыль скалу, но, к счастью, от нее несложно убежать.
382	Young gold dragon	молод$AMU золот$AMU дракон$N2A	It has a form that legends are made of.  Its still-tender scales are a tarnished gold hue, and light is reflected from its form.	О таких драконах были сложены легенды. Его все еще непрочная чешуя имеет красивый золотой тон и отражает свет. Вы невольно восхищаетесь красотой этого существа. Неужели вам нужно сражаться с ним?
383	Rogrog the Black Troll	Рогрог$N2A Черн$AMT Тролл*ь$N2E	A massive and cruel troll of great power, drool slides caustically down his muscular frame.  Despite his bulk, he strikes with stunning speed.	Большой и жестокий тролль великой силы, поигрывающий мускулами. Несмотря на свои размеры, он бьет с ужасающей скоростью.
384	Mature blue dragon	взросл$AMT син$AMO дракон$N2A	A large dragon, scales tinted deep blue.	Большой дракон с чешуей глубокого синего цвета.
385	Mature green dragon	взросл$AMT зелен$AMT дракон$N2A	A large dragon, scales tinted deep green.	Большой дракон с чешуей глубокого зеленого цвета.
386	Mature bronze dragon	взросл$AMT бронзов$AMT дракон$N2A	A large dragon with scales of rich bronze.	Большой дракон, с чешуей, отливающей красивой бронзой.
387	Young red dragon	молод$AMU красн$AMT дракон$N2A	It has a form that legends are made of.  Its still-tender scales are a deepest red hue.  Heat radiates from its form.	О таких драконах были сложены легенды. Его все еще непрочная чешуя имеет красивый насыщенный красный тон. Его фигура излучает тепло. Вы невольно восхищаетесь красотой этого существа. Неужели вам нужно сражаться с ним?
388	Trapper	траппер$N2A	A larger cousin of the lurker, this creature traps unsuspecting victims and paralyzes them, to be slowly digested later.	Большой собрат луркера. Это существо ловит и парализует свою жертву, чтобы медленно переварить ее. Различить его почти невозможно, пока не станет слишком поздно.
389	Bodak	бодак$N2A	It is a humanoid form composed of flames and hatred.	Демон человеческой формы, состоящий из пламени и ненависти.
390	Ice elemental	элементал*ь$N2E льда	It is a towering glacier of ice.	Высокий разумный столб льда.
391	Necromancer	некромант$N2A	A gaunt figure, clothed in black robes.	Уродливая фигура в черных робах. Вы не уверены даже, живой ли это человек.
392	Lorgan, Chief of the Easterlings	Лорган$N2A, Вожд*ь$N2E Вастаков	A mighty warrior from the east, Lorgan hates everything that he cannot control.	Могучий воин с востока, Лорган ненавидит все, что не подчиняется ему.
393	Demonologist	демонолог$N2A	A figure twisted by evil standing in robes of deepest crimson.	Фигура в кроваво-красных робах. Вы чувствуете злобу этого человека, имеющего странную власть над демонами.
394	Mummified troll	мумифицированн$AMT тролл*ь$N2E	It is a massive figure clothed in wrappings.  You are wary of its massive fists.	Большая обернутая тряпками фигура. Вы замечаете у нее массивные кулаки.
395	The Queen Ant	королев$N1T муравьев	She`s upset because you hurt her children.	Вам не стоило обижать ее потомство! Эта матка из гигантского муравейника кладет яйца с огромной скоростью.
396	Will o` the wisp	блуждающ$AMO огон*е^ьк$N2A	A strange ball of glowing light.  It disappears and reappears and seems to draw you to it.  You seem somehow compelled to stand still and watch its strange dancing motion.	Странный шар света. Он появляется и исчезает и как будто бы манит вас к нему. Вы завороженно наблюдаете за его странным движением.
397	Magma elemental	элементал*ь$N2E магмы	It is a towering glowing form of molten hate.	Высокая светящаяся фигура из расплавленной ненависти.
398	Black pudding	черн$ANT желе	A lump of rotting black flesh that slurrrrrrrps across the dungeon floor.	Гниющий черный холм, медленно ползущий по полу.
399	Killer iridescent beetle	горящ$AMO жук$N2A-убийц$N1T	It is a giant beetle, whose carapace shimmers with vibrant energies.	Гигантский жук, крылья которого светятся энергией.
400	Nexus vortex	пространственн$AMT вихр*ь$N2E	A maelstrom of potent magical energy.	Воронка странной энергии. Кажется, она искривляет пространство своим появлением. Затягиваемая в нее пыль появляется в разных местах комнаты.
401	Plasma vortex	плазменн$AMT вихр*ь$N2E	A whirlpool of intense flame, charring the stones at your feet.	Смерч яростного пламени, опаляющего камни у вас под ногами. Он кажется жарче пламени драконов.
402	Mature red dragon	взросл$AMT красн$AMT дракон$N2A	A large dragon, scales tinted deep red.	Большой дракон, с чешуей насыщенного красного цвета.
403	Mature gold dragon	взросл$AMT золот$AMU дракон$N2A	A large dragon with scales of gleaming gold.	Большой дракон, с чешуей, блестящей золотом.
404	Crystal drake	хрустальн$AMT дракон$N2A	A dragon of strange crystalline form.  Light shines through it, dazzling your eyes with spectrums of colour.	Дракон странной хрустальной формы. Свет преломляется в нем и распадается на множество маленьких радуг. Вы любуетесь им, слишком поздно осознавая, что это не статуя из горного хрусталя, а живое и враждебное существо.
405	Mature black dragon	взросл$AMT черн$AMT дракон$N2A	A large dragon, with scales of deepest black.	Большой дракон, с чешуей глубочайшего черного цвета.
406	Mature multi-hued dragon	взросл$AMT многоцветн$AMT дракон$N2A	A large dragon, scales shimmering many colours.	Большой дракон, чешуя которого мерцает многими цветами.
407	Death knight	рыцар*ь$N2E Смерти	It is a humanoid figure dressed in armour of an ancient form.  From beneath its helmet, eyes glow a baleful red and seem to pierce you like lances of fire.	Человеческая фигура в доспехах древнего вида. Из-под забрала шлема его глаза пылают красным и пронизывают вас насквозь. Когда-то этот рыцарь был паладином, но он предал свои идеалы, и был проклят своим божеством на вечные страдания после смерти.
408	Castamir the Usurper	Кастамир$N2A Узурпатор$N2A	A Black Numenorean who usurped the throne of Gondor, he is treacherous and evil.	Черный Нуменорец, захвативший трон Гондора, подлый и злой.
409	Time vortex	временн$AMU вихр*ь$N2E	You haven`t seen it yet.	Вы еще не видели его. Или уже? С попавшими в него предметами происходят странные метаморфозы.
410	Shimmering vortex	сверкающ$AMO вихр*ь$N2E	A strange pillar of shining light that hurts your eyes.  Its shape changes constantly as it cuts through the air towards you.  It is like a beacon, waking monsters from their slumber.	Странный столб света, настолько яркого, что он режет глаза. Его форма постоянно изменяется, когда он быстро летит к вам. Для других монстров, которых пробуждает его свет, он подобен маяку.
411	Ancient blue dragon	древн$AMM син$AMO дракон$N2A	A huge draconic form.  Lightning crackles along its length.	Огромный дракон. Молния сверкает вдоль его мощного темно-синего тела.
412	Ancient bronze dragon	древн$AMM бронзов$AMT дракон$N2A	A huge draconic form enveloped in a cascade of colour.	Огромный дракон, окруженный каскадом переливающихся цветов.
413	Beholder	созерцател*ь$N2E	A vile creature with one huge central eye, twelve smaller eyes on stalks, and a huge mouth filled with sharp teeth.	Жуткого вида существо с одним огромным центральным глазом, двенадцатью маленькими глазами на щупальцах, и большим ртом с острыми зубами.
414	Emperor wight	корол*ь$N2E умертвий	Your life force is torn from your body as this powerful unearthly being approaches.	Ваша жизнь, кажется, покидает тело, когда это могущественное существо подходит к вам.
415	Blue Wizard	серафим$N2A	It is an angel, fast and strong.  You are stunned by its extreme holiness and try to resist all desires to obey it.	Быстрый и сильный ангел. Вы подавлены его святостью и слабо сопротивляетесь желанию подчиниться ему.
416	Vargo, Tyrant of Fire	Варго, Тиран$N2A Огня	A towering fire elemental, Vargo burns everything beyond recognition.	Высокий элементаль огня, Варго сначала сжигает, потом смотрит.
417	Black wraith	черн$AMT призрак$N2A	A figure that seems made of void, its strangely human shape is cloaked in shadow.  It reaches out at you.	Фигура, будто бы состоящая из пустоты, с почти человеческим силуэтом. Она плывет к вам.
418	Erinyes	эринейс	It is a lesser demon of female form; however, she takes little time to show her true colours.	Младший демон в женском обличье; ей, однако, не нужно много времени, чтобы продемонстрировать свою истинную сущность.
419	Nether wraith	могильн$AMT призрак$N2A	A form that hurts the eye, death permeates the air around it.  As it nears you, a coldness saps your soul.	Окруженная смертью темная фигура, режущая глаз. Ваша душа застывает, когда она приближается.
420	Eldrak	элдрак$N2A	A massive troll, larger and stronger than many men together.	Массивный тролль, больше и сильнее дюжины людей, вместе взятых.
421	Ettin	эттин$N2A	A massive two-headed troll of huge strength, ettins are stupid but violent. They are also living proof that two heads are not more intelligent than one...	Массивный двухголовый тролль огромной силы. Эттины тупы, но жестоки. Они также являются живым доказательством того, что две головы не всегда лучше одной...
422	Waldern, King of Water	Валдерн$N2A, Корол*ь$N2E Воды	A towering water elemental, Waldern is master of all things liquid. Wave after wave drowns your frail body.	Высокий элементаль воды, повелитель всех жидкостей. Валдерн обрушивает на ваше хрупкое тело волну за волной.
423	Kavlax the Many-Headed	Кавлакс$N2A Многоголов$AMT	A large dragon with a selection of heads, all shouting and arguing as they look for prey, but each with its own deadly breath weapon.	Большой дракон с девятью головами, вопящими и спорящими друг с другом. У каждой из них - свое смертельное дыхание.
424	Ancient white dragon	древн$AMM бел$AMT дракон$N2A	A huge draconic form.  Frost covers it from head to tail.	Огромный дракон. Иней покрывает его от головы до хвоста.
425	Ancient green dragon	древн$AMM зелен$AMT дракон$N2A	A huge draconic form enveloped in clouds of poisonous vapour.	Огромный дракон, окруженный облаками ядовитого пара.
426	7-headed hydra	семиголов$AFT гидр$N1T	A strange reptilian hybrid with seven heads dripping venom.	Странная рептилия с семью головами, с которых капает яд.
427	Night mare	ночн$AMU кошмар$N2A	A fearsome skeletal horse with glowing eyes, that watch you with little more than a hatred of all that lives.	Жуткий скелет лошади с горящими глазами, смотрящий на вас с ненавистью. На таких скакунах ездят демоны и рыцари Смерти.
428	Vampire lord	вампир$N2A-лорд$N2A	A foul wind chills your bones as this ghastly figure approaches.	Вас обдает холодным ветром, когда приближается эта жуткая фигура.
429	Ancient black dragon	древн$AMM черн$AMT дракон$N2A	A huge draconic form.  Pools of acid melt the floor around it.	Драконоподобная фигура, окруженная тьмой. Вы не можете разглядеть ее истинное обличье, но чувствуете ее злобу.
430	Disenchanter worm mass	масс$N1T червей антимагии	It is a strange mass of squirming worms.  Magical energy crackles around its disgusting form.	Странный клубок червей. Кажется, магическая энергия трещит возле их отвратительных хвостов.
431	Rotting quylthulg	гниющ$AMO квулсхулг$N2A	It is a pulsing flesh mound that reeks of death and putrefaction.	Пульсирующий холм плоти, пахнущий смертью и разложением.
432	Spirit troll	дух$N2A тролля	A weird ghostly troll-like being from the ethereal plane.	Странное призрачное существо с эфирной плоскости, похожее на тролля.
433	Lesser titan	титан$N2A	It is a humanoid figure thirty feet tall that gives off an aura of power and hate.	Тридцатифутовая человеческая фигура, излучающая силу и ненависть.
434	9-headed hydra	девятиголов$AFT гидр$N1T	A strange reptilian hybrid with nine smouldering heads.	Странная рептилия с девятью пылающими головами.
435	Enchantress	чародейк$N1M	This elusive female spellcaster has a special affinity for dragons, whom she rarely fights without.	Эта красивая женщина-маг имеет особую власть над драконами, и редко сражается без них.
436	Knight Templar	крестонос*ец$N2B	It seems that the more devout the person, the more likely they are to cross the boundary between piety and sanctimoniousness.  And such is the case with the Order of the Knights Templar; they are among the most pious and powerful of the religious knightly orders, but noted for their intolerance. Thus it is Morgoth`s will that is unwittingly done, as the forces of good are set against each other.	Часто кажется, что, чем более человек предан своей вере, тем легче ему пересечь тонкую грань между верой и ханжеством. И так стало с Орденом Крестоносцев - самым верным и сильным из религиозных орденов, но известным своей нетерпимостью. По воле Моргота силы добра стравливаются друг с другом.
437	Sorcerer	колдун$N2A	A human figure in robes, he moves with magically improved speed, and his hands are ablur with spell casting.	Человеческая фигура в робах, движущаяся с улучшенной магической скоростью. Его руки творят заклинания, как будто не подчиняются слабому телу.
438	Xaren	харен$N2A	It is a tougher relative of the Xorn.  Its hide glitters with metal ores.	Более крепкий родственник хорна. Его шкура блестит металлическими рудами.
439	Giant roc	птиц$N1T Рок	A vast legendary bird, its iron talons rake the most impenetrable of surfaces and its screech echoes through the many winding dungeon corridors.	Огромная легендарная птица. Ее железные когти могут рвать металл, а ее крик эхом отдается в коридорах подземелья.
440	Uvatha the Horseman	Уват$N1T Всадник$N2A	A tall black cloaked Ringwraith, he is a master of horsemanship.  He longs to taste your blood.	Высокий черный Кольценосец, мастер верховой езды. Он желает отведать вашей крови.
441	Minotaur	минотавр$N2A	It is a cross between a human and a bull.	Гибрид человека и быка.
442	Medusa, the Gorgon	Медуз$N1T Горгон$N1T	One of the original three ugly sisters.  Her face could sink a thousand ships.  Her scales rattle as she slithers towards you, venom dripping from her ghastly mouth.	Одна из трех жутких сестер. Ее лицо могло потопить тысячу кораблей. Ее чешуя тихо шуршит, на голове извиваются змеи, изо рта капает яд.
443	Death drake	дракон$N2A-призрак$N2A	It is a dragon-like form wrapped in darkness.  You cannot make out its true form but you sense its evil.	Драконоподобная фигура, окруженная тьмой. Вы не можете разглядеть ее истинное обличье, но чувствуете ее злобу.
444	Ancient red dragon	древн$AMM красн$AMT дракон$N2A	A huge draconic form.  Wisps of smoke steam from its nostrils and the extreme heat surrounding it makes you gasp for breath.	Огромный дракон. Дым валит из его ноздрей; жар, окружающий его, заставляет вас задыхаться.
445	Ancient gold dragon	древн$AMM золот$AMU дракон$N2A	A huge draconic form wreathed in a nimbus of light. Its roar stuns and deafens you.	Огромный дракон в нимбе света. Его рев оглушает вас.
446	Great crystal drake	велик$AMM хрустальн$AMT дракон$N2A	A huge crystalline dragon.  Its claws could cut you to shreds and its teeth are razor sharp.  Strange colours ripple through it as it moves in the light.	Огромный кристаллический дракон. Его когти могут порвать вас в клочья; его зубы острее бритвы. Странные цвета пробегают по нему, когда он движется в лучах света.
447	Vrock	врок$N2A	It is a demon with a long neck and raking claws.	Это демон с длинной шеей и напоминающими грабли когтями.
448	Death quasit	квазит$N2A смерти	It is a demon of small stature, but its armoured frame moves with lightning speed and its powers make it a tornado of death and destruction.	Этот демон маленького роста, но он носится с ослепительной скоростью, и его силы делают его торнадо смерти и разрушения.
449	Adunaphel the Quiet	Адунафел$N3 Тих$AFM	A sorceress in life, Adunaphel quickly fell under Sauron`s sway and the power of the rings.	Колдунья при жизни, Адунафель быстро подпала под влияние Саурона и власть его Колец.
450	Dark elven sorcerer	темн$AMT эльф$N2A-колдун$N2A	A dark elven figure, dressed in deepest black.  Power seems to crackle from his slender frame.	Фигура темного эльфа, одетая в глубокий черный, излучающая великую силу.
451	Master lich	мастер$N2A-лич$N2C	A skeletal form wrapped in robes.  Powerful magic crackles along its bony fingers.	Скелет, одетый в черное. Магия искрит из его костяных пальцев.
452	Hezrou	хезроу	It is a demon of lizard form with cruel-looking jaws.	Демон в облике ящера, с большими челюстями.
453	Akhorahil the Blind	Ахорахил*ь$N2E Слеп$AMU	A mighty sorcerer King, Akhorahil was blind in life.  With powerful enchantments, he created jewelled eyes that enabled him to see better than any ordinary man ever could.	Могущественный король-колдун. Ахорахиль был слепым при жизни, но своими чарами он создал для себя глаза из драгоценных камней, которые позволяли ему видеть лучше любого смертного.
454	Gorlim, Betrayer of Barahir	Горлим$N2A, Предател*ь$N2E Бараира	This sad creature - once a mighty warrior - betrayed his former friends to Morgoth`s army in return for, he thought, safety for himself and his wife. And so he fell under Morgoth`s power and became little more than a mindless servant of evil, even though the other side of his ``bargain`` was not kept.	Это грустное существо - когда-то могучий воин - предал своих бывших друзей армии Моргота ради, ради, как он думал, безопасности для себя и своей жены. И так он подпал под власть Моргота, и стал всего лишь безгласным слугой зла, хотя условия его ``сделки`` не были удовлетворены.
455	Istar	Архон$N2A	Never a more heavenly being have you seen.  The very holiness of its presence makes you deeply respect it.  Few creatures can match the powers of an Archon; fewer still live to tell the tale after attacking one.	Вы никогда не видели более божественного создания. Его святость заставляет вас глубоко уважать его. Немногие существа могут противостоять силе Архона, и еще меньше тех, кто может об этом рассказать.
456	Glabrezu	глабрезу	It is demon with arms and pincers, its form a true mockery of life.	Зубастый демон, настоящая пародия на жизнь. 
457	Ren the Unclean	Рен$N2A Нечист$AMT	Ren was an insane eastern king who believed himself to be the son of a volcano god.  At an early age his sanity was destroyed by a plague that wiped out his family, and he never recovered.	Рен был безумным восточным королем, считавшим себя сыном бога вулканов. Его разум был поврежден в юности эпидемией, уничтожившей его семью, и никогда не восстанавливался.
458	Nalfeshnee	налфиши	It is a large demon with the head of a giant boar.  Flames run up and down its length.	Большой демон с головой кабана. Пламя бежит по его телу.
459	Undead beholder	мертв$AMT созерцател*ь$N2E	A beholder which has cheated death.  Black nether storms rage around the bloodshot pupil of its central giant eye, and light seems to bend as it sucks its power from the very air around it.  Your soul chills as it drains your vitality for its evil enchantments.	Созерцатель, сумевший обмануть смерть. Черная буря неистовствует вокруг кровавого зрачка его огромного глаза, и лучи света изгибаются, когда он высасывает силу из воздуха вокруг. Ваша душа леденеет при виде его.
461	Mumak	Mumak	A massive elephantine form with eyes twisted by madness.	A massive elephantine form with eyes twisted by madness.
462	Ancient multi-hued dragon	древн$AMM многоцветн$AMT дракон$N2A	A huge draconic form.  Many colours ripple down its massive frame.  Few live to see another.	Огромный дракон. Множество цветов бежит по его массивному телу. Немногие успели увидеть что-то другое.
463	Ethereal dragon	велик$AMM эфирн$AMT дракон$N2A	A huge dragon emanating from the ethereal plane, this terrible dragon is a master of light and dark.  Its form disappears from sight as it cloaks itself in unearthly shadows.	Огромный дракон с эфирной плоскости, мастер света и тьмы. Его силуэт исчезает в неземных тенях.
464	Ji Indur Dawndeath	Джи Индур$N2A Даундет$N2A	This Ringwraith was a weak-minded sorcerer-king who fell easily under Sauron`s power.	Этот Кольценосец был слабоумным королем-колдуном при жизни, и легко подпал под власть Саурона.
465	Marilith	марилит	She is a demon of female form with many arms, each bearing deadly weapons.	Это демон женского обличья со множеством рук, несущих острые клинки.
466	Quaker, Master of Earth	Квейкер$N2A, Мастер$N2A Земли	A towering stone elemental stands before you.  The walls and ceiling are reduced to rubble as Quaker advances.	Большой земляной элементаль стоит перед вами. Стены и потолок разрушаются в порошок, когда приближается Квейкер.
467	Lesser Balrog	Балрог$N2A	It is a massive humanoid demon wreathed in flames.	Большой демон человеческого облика, окруженный пламенем.
468	Ariel, Queen of Air	Ариэл$N3, Королев$N1T Воздуха	A towering air elemental, Ariel, the sorceress, avoids your blows with her extreme speed.	Высокий элементаль воздуха, Ариэль уклоняется от ваших ударов с огромной скоростью.
469	11-headed hydra	одиннадцатиголов$AFT гидр$N1T	A strange reptilian hybrid with eleven smouldering heads.	Странная рептилия с одиннадцатью пылающими головами.
470	Patriarch	патриарх$N2A	An evil priest, dressed all in black.  Deadly spells hit you at an alarming rate as his black spiked mace rains down blow after blow on your pitiful frame.	Злой жрец, одетый в черное. Смертельные заклинания попадают в вас с ужасающей скоростью, в то время как удары его черной шипастой булавы обрушиваются на вас один за другим.
471	Dreadmaster	Повелител*ь$N2E Ужасов	It is an unlife of power almost unequaled.  An affront to existence, its very touch abuses and disrupts the flow of life, and its unearthly limbs, of purest black, crush rock and flesh with ease.	Это смерть в ее совершеннейшей форме. Его касание нарушает и уничтожает течение жизни, и его черные суставы сокрушают камень и плоть с одинаковой легкостью.
472	Drolem	дролем$N2A	A constructed dragon, the drolem has massive strength.  Powerful spells weaved during its creation make it a fearsome adversary.  Its eyes show little intelligence, but it has been instructed to destroy all it meets.	Дракон-голем огромной силы. Мощные заклинания, приложенные при его создании, делают его опасным противником. В его глазах нет и проблеска разума; он обучен только разрушать.
473	Scatha the Worm	Скат$N1T Зме*й$N2E	An ancient and wise Dragon.  Scatha has grown clever over the long years. His scales are covered with frost, and his breath sends a shower of ice into the air.	Древний дракон, набравшийся мудрости за долгие годы. Его чешуя покрыта инеем, а дыхание посылает в воздух снег и град. ` - Это наследие нашего дома, - сказала Эовин. - Рог сделан гномами и достался нам из сокровищ Скаты - был такой дракон. Эорл Юный принес его с севера.`
474	Dwar, Dog Lord of Waw	Двар$N2A, Повелител*ь$N2E Собак	Dwar had a special affinity for dogs in life, and can still command them at will.  He howls maniacally as he reaches out to destroy you.	Двар имел особую власть над собаками при жизни, и все еще может подчинять их своей воле. Он маниакально воет, стремясь уничтожить вас.
475	Smaug the Golden	Смог$N2A Золочен$AMT	Smaug is one of the Uruloki that still survive, a fire-drake of immense cunning and intelligence.  His speed through air is matched by few other dragons and his dragonfire is what legends are made of; he is believed to be the greatest dragon still surviving into the Third Age.	Смог - один из немногих выживших Урулоки, огненный дракон большой хитрости и ума. Немногие драконы достигают его скорости в воздухе, а о его пламени сложены легенды. Он считается величайшим из драконов, выживших в Третью Эпоху.
476	Dracolich	костян$AMU дракон$N2A	The skeletal form of a once-great dragon, enchanted by magic most perilous.  Its animated form strikes with speed and drains life from its prey to satisfy its hunger.	Скелет большого дракона, зачарованный страшной магией. Он высасывает жизнь из своей жертвы, чтобы удовлетворить свой голод.
477	Greater titan	старш$AMO титан$N2A	A forty foot tall humanoid that shakes the ground as it walks.  The power radiating from its frame shakes your courage, its hatred inspired by your defiance.	Человек сорока футов ростом; его шаги сотрясают землю. Его ненависть вызвана вашим непокорством.
478	Dracolisk	драколиск$N2A	A mixture of dragon and basilisk, the dracolisk stares at you with deep piercing eyes, its evil breath burning the ground where it stands.	Гибрид дракона и василиска. Взгляд драколиска пронизывает вас насквозь. Его злое дыхание обжигает землю.
479	Death mold	плесен$N3 смерти	It is the epitome of all that is evil, in a mold.  Its lifeless form draws power from sucking the souls of those that approach it, a nimbus of pure evil surrounds it.  Luckily for you, it can`t move.	Воплощение зла в виде плесени. Ее безжизненная форма вытягивает души из всех, приближающихся к ней; ее окружает нимб чистого зла. К счастью для вас, она не движется.
480	Itangast the Fire Drake	Итангаст$N2A, Огненн$AMT Дракон$N2A	A mighty ancient dragon, Itangast`s form scorches your flesh.  Wisps of smoke curl up from his nostrils as he regards you with disdain.	Большой и древний дракон. Вид Итангаста опаляет вас. Дым исходит из его ноздрей, в то время, как он рассматривает вас с отвращением.
481	Glaurung, Father of the Dragons	Глаурунг$N2A, От*ец$N2A Драконов	Glaurung is the father of all dragons, and was for a long time the most powerful.  Though this is no longer so, he still has full command over his brood and can command them to appear whenever he so wishes.  He is the definition of dragonfire.	Глаурунг - отец всех драконов, и долгое время был величайшим из них, и хотя теперь это уже не так, он все еще обладает властью над своим выводком, и может приказать им появиться, когда он того захочет. Он - воплощение драконьего пламени. `Снова прошло сто лет, и Глаурунг, первый из Урулоки, огненных драконов, вышел ночью из ворот Ангбэнда. Он был еще молод и достигал едва половины своего роста (потому что жизнь дракона длится долго и медленно), но эльфы в ужасе бежали перед ним в Эред Витрин и Дор-Финион. И дракон осквернил поля Ард-Галена.`
482	Master mystic	мастер$N2A-мистик$N2A	A lord of all that is natural, skilled in the mystic ways.  He is a master of martial arts and is at one with nature, able to summon help from the wild if need be.	Повелитель природы, опытный в мистических путях. Мастер единоборств, могущий вызывать помощь при необходимости.
483	The Balrog of Moria	Балрог$N2A Мории	A huge Balrog surrounded by raging pillars of fire, this is indeed a terrible opponent.  Wielding a great whip of fire and a blazing sword, his fury blisters your skin and melts your flesh!	Огромный Балрог, окруженный бушующим пламенем; ужасный оппонент в бою. С огромным хлыстом пламени и горящим мечом, его ярость палит вашу кожу и плавит плоть!
484	Nightwing	Ночн$AMU Летун$N2A	Everywhere colours seem paler and the air chiller.  At the centre of the cold stands a mighty figure.  Its wings envelop you in the chill of death as the nightwing reaches out to draw you into oblivion.  Your muscles sag and your mind loses all will to fight as you stand in awe of this mighty being.	Цвета кажутся бледнее, а воздух - холоднее. В центре холода стоит мощная фигура. Ее крылья обдают вас холодом смерти, когда Ночной Летун начинает затягивать вас в небытие. Ваше тело слабеет, и воля теряется при взляде на него.
485	Nether hound	могильн$AFT гонч$AFM	You feel a soul-tearing chill upon viewing this beast, a ghostly form of darkness in the shape of a large dog.	Вы чувствуете страшный холод при взгляде на этого зверя - призрачную фигуру тьмы в форме большой собаки.
486	Time hound	временн$AFT гонч$AFM	You get a terrible sense of deja vu, or is it a premonition?  All at once you see a little puppy and a toothless old dog.  Perhaps you should give up and go to bed.	Вы чувствуете ужасное ощущение дежа вю, или это только предчувствие? Вы одновременно видите маленького щенка и беззубую старую собаку. Может быть, самое время закончить и пойти спать.
487	Plasma hound	плазменн$AFT гонч$AFM	The very air warps as pure elemental energy stalks towards you in the shape of a giant hound.  Your hair stands on end and your palms itch as you sense trouble.	Сам воздух коробится, когда чистая энергия элементов приближается к вам в форме гигантской гончей. Ваши волосы встают дыбом, и ладони холодеют, когда вы чувствуете беду.
488	Demonic quylthulg	демоническ$AMM квулсхулг$N2A	A pile of pulsing flesh that glows with an inner hellish fire.  The world itself seems to cry out against it.	Груда пульсирующей плоти, горящая внутренним адским огнем.
489	Great Storm Wyrm	Велик$AMM Штормов$AMU Зме*й$N2E	A vast dragon of power.  Storms and lightning crash around its titanic form.  Deep blue scales reflect the flashes and highlight the creature`s great muscles.  It regards you with contempt.	Большой дракон. Гром и молния окружает его титаническую форму. Темная синяя чешуя отражает вспышки, высвечивая его огромные мускулы. Он глядит на вас с презрением.
490	Baphomet the Minotaur Lord	Бафомет$N2A, Лорд$N2A Минотавров	A fearsome bull-headed monster, Baphomet swings a mighty axe as he curses all that defy him.	Жуткий быкоголовый монстр, Бафомет машет огромной секирой, проклиная все, что сопротивляется ему.
491	Harowen the Black Hand	Хароуэн$N2A Черн$AFT Рук$N1M	He is a master of disguise, an expert of stealth, a genius at traps, and moves with blinding speed.  Check your pockets!	Мастер маскировки, эксперт скрытности, гений ловушек, и двигается с ослепительной скоростью. Проверьте карманы!
492	Hoarmurath of Dir	Хоармурат$N2A из Дира	A Ringwraith powerful in fell sorcery, he yearns for the life he has lost for an unlife of everlasting torment.	Кольценосец, сильный в колдостве, он тоскует о своей жизни, которую он променял на вечную пытку.
493	Grand master mystic	велик$AMM мастер$N2A-мистик$N2A	He is one of the few true masters of the art, being extremely skillful in all forms of unarmed combat and controlling the world`s natural creatures with disdainful ease.	Один из немногих настоящих мастеров искусства, мастерски сражающийся и контролирующий естественных существ с поразительной легкостью.
