Text	Occurrence
"CREATE TABLE gold(level INT, count INT, origin INT, UNIQUE (level, origin) ON CONFLICT REPLACE);"	"src/main-stats.c:1132"
"CREATE TABLE artifacts(level INT, count INT, a_idx INT, origin INT, UNIQUE (level, a_idx, origin) ON CONFLICT REPLACE);"	"src/main-stats.c:1135"
"CREATE TABLE consumables(level INT, count INT, k_idx INT, origin INT, UNIQUE (level, k_idx, origin) ON CONFLICT REPLACE);"	"src/main-stats.c:1138"
"CREATE TABLE wearables_count(level INT, count INT, k_idx INT, origin INT, UNIQUE (level, k_idx, origin) ON CONFLICT REPLACE);"	"src/main-stats.c:1141"
"CREATE TABLE wearables_dice(level INT, count INT, k_idx INT, origin INT, dd INT, ds INT, UNIQUE (level, k_idx, origin, dd, ds) ON CONFLICT REPLACE);"	"src/main-stats.c:1144"
"CREATE TABLE wearables_ac(level INT, count INT, k_idx INT, origin INT, ac INT, UNIQUE (level, k_idx, origin, ac) ON CONFLICT REPLACE);"	"src/main-stats.c:1147"
"CREATE TABLE wearables_hit(level INT, count INT, k_idx INT, origin INT, to_h INT, UNIQUE (level, k_idx, origin, to_h) ON CONFLICT REPLACE);"	"src/main-stats.c:1150"
"CREATE TABLE wearables_dam(level INT, count INT, k_idx INT, origin INT, to_d INT, UNIQUE (level, k_idx, origin, to_d) ON CONFLICT REPLACE);"	"src/main-stats.c:1153"
"CREATE TABLE wearables_egos(level INT, count INT, k_idx INT, origin INT, e_idx INT, UNIQUE (level, k_idx, origin, e_idx) ON CONFLICT REPLACE);"	"src/main-stats.c:1156"
"CREATE TABLE wearables_flags(level INT, count INT, k_idx INT, origin INT, of_idx INT, UNIQUE (level, k_idx, origin, of_idx) ON CONFLICT REPLACE);"	"src/main-stats.c:1159"
"CREATE TABLE wearables_pval_flags(level INT, count INT, k_idx INT, origin INT, pval INT, of_idx INT, UNIQUE (level, k_idx, origin, pval, of_idx) ON CONFLICT REPLACE);"	"src/main-stats.c:1162"
"monsters"	"src/main-stats.c:1176 src/main-stats.c:1492 src/savefile.c:112 src/savefile.c:157 src/savefile.c:158 src/ui-knowledge.c:1381"
"obj_feelings"	"src/main-stats.c:1178 src/main-stats.c:1495"
"mon_feelings"	"src/main-stats.c:1180 src/main-stats.c:1498"
"gold"	"src/main-stats.c:1182 src/main-stats.c:1258 src/main-stats.c:1501 src/object/obj-util.c:3594"
"artifacts"	"src/main-stats.c:1184 src/main-stats.c:1504 src/savefile.c:102 src/savefile.c:130 src/ui-knowledge.c:1571"
"consumables"	"src/main-stats.c:1186 src/main-stats.c:1508"
"wearables"	"src/main-stats.c:1188"
"count"	"src/main-stats.c:1201"
"dice"	"src/main-stats.c:1203 src/main-stats.c:1515"
"dam"	"src/main-stats.c:1209 src/main-stats.c:1524"
"egos"	"src/main-stats.c:1211 src/main-stats.c:1527"
"pval_flags"	"src/main-stats.c:1215 src/main-stats.c:1533"
"INSERT INTO %s VALUES(?,?,?);"	"src/main-stats.c:1245"
"INSERT INTO %s VALUES(?,?,?,?);"	"src/main-stats.c:1286"
"INSERT INTO wearables_count VALUES(?,?,?,?);"	"src/main-stats.c:1322"
"INSERT INTO wearables_%s VALUES(?,?,?,?,?);"	"src/main-stats.c:1365"
"INSERT INTO wearables_%s VALUES(?,?,?,?,?,?);"	"src/main-stats.c:1424"
"INSERT OR REPLACE INTO metadata VALUES('runs', %d);"	"src/main-stats.c:1488"
"\r|"	"src/main-stats.c:1563"
"*"	"src/main-stats.c:1564 src/prefs.c:706 src/ui-options.c:1249 src/xtra3.c:931"
"| %d/%d (%5.1f%%) %3d:%02d:%02d "	"src/main-stats.c:1566"
"Creating the database and dumping info...\n"	"src/main-stats.c:1605"
"Couldn't prepare database!"	"src/main-stats.c:1607"
"Beginning %d runs...\n"	"src/main-stats.c:1610"
"Problems writing to database!  sqlite3 errno %d."	"src/main-stats.c:1640 src/main-stats.c:1658"
"Finished %d runs.\n"	"src/main-stats.c:1645"
"\nSaving the data...\n"	"src/main-stats.c:1652"
"Done!\n"	"src/main-stats.c:1663"
"Stats mode, subopts -q(uiet) -r(andarts) -n(# of runs) -s(no selling)"	"src/main-stats.c:1790"
"-r"	"src/main-stats.c:1808"
"-q"	"src/main-stats.c:1812"
"-s"	"src/main-stats.c:1820"
"init-stats: bad argument '%s'\n"	"src/main-stats.c:1824"
"left"	"src/main-test.c:30"
"right"	"src/main-test.c:32"
"up"	"src/main-test.c:34"
"down"	"src/main-test.c:36"
"space"	"src/main-test.c:38"
"enter"	"src/main-test.c:40"
"cmd-verbose: off\n"	"src/main-test.c:59"
"cmd-verbose: on\n"	"src/main-test.c:62"
"cmd-version: %s %s\n"	"src/main-test.c:68"
"Female"	"src/main-test.c:80 src/tables.c:166"
"Human"	"src/main-test.c:81 src/tests/unit-test-data.h:626"
"Warrior"	"src/main-test.c:82"
"player-birth: bad sex '%s'\n"	"src/main-test.c:92"
"player-birth: bad race '%s'\n"	"src/main-test.c:100"
"player-birth: bad class '%s'\n"	"src/main-test.c:109"
"player-class: %s\n"	"src/main-test.c:117"
"player-race: %s\n"	"src/main-test.c:121"
"player-sex: %s\n"	"src/main-test.c:125"
"#"	"src/main-test.c:134"
"key"	"src/main-test.c:135 src/prefs.c:876"
"noop"	"src/main-test.c:136"
"verbose"	"src/main-test.c:138"
"version?"	"src/main-test.c:139"
"player-birth"	"src/main-test.c:141"
"player-class?"	"src/main-test.c:142"
"player-race?"	"src/main-test.c:143"
"player-sex?"	"src/main-test.c:144"
"test> "	"src/main-test.c:158"
"test-docmd: %s\n"	"src/main-test.c:168"
"term-init %s %s\n"	"src/main-test.c:195"
"term-end\n"	"src/main-test.c:199"
"term-xtra-clear %d\n"	"src/main-test.c:203"
"term-xtra-noise %d\n"	"src/main-test.c:208"
"term-xtra-fresh %d\n"	"src/main-test.c:213"
"term-xtra-shape %d\n"	"src/main-test.c:218"
"term-xtra-alive %d\n"	"src/main-test.c:223"
"term-xtra-event %d\n"	"src/main-test.c:228"
"term-xtra-flush %d\n"	"src/main-test.c:237"
"term-xtra-delay %d\n"	"src/main-test.c:242"
"term-xtra-react\n"	"src/main-test.c:247"
"term-xtra-unknown %d %d\n"	"src/main-test.c:271"
"term-curs %d %d\n"	"src/main-test.c:276"
"term-wipe %d %d %d\n"	"src/main-test.c:281"
"term-text %d %d %d %02x %s\n"	"src/main-test.c:289"
"Test mode, subopts -p(rompt)"	"src/main-test.c:314"
"-p"	"src/main-test.c:321"
"init-test: bad argument '%s'\n"	"src/main-test.c:325"
"angband.chm"	"src/main-win.c:113 src/main-win.c:114"
"angband.hlp"	"src/main-win.c:116"
"spoilers.hlp"	"src/main-win.c:117"
"8X12x.FON"	"src/main-win.c:276"
"AngList"	"src/main-win.c:433"
"Error"	"src/main-win.c:510 src/main-win.c:5082 src/main-win.c:5142"
"Cannot find required directory:\n%s"	"src/main-win.c:614"
"1"	"src/main-win.c:724 src/main-win.c:732 src/main-win.c:773 src/main-win.c:794 src/main-x11.c:1056 src/monster/mon-lore.c:1697 src/monster/mon-lore.c:1705 src/prefs.c:437 src/prefs.c:444 src/prefs.c:455 src/prefs.c:466 src/prefs.c:482 src/prefs.c:498"
"Bizarre"	"src/main-win.c:733 src/main-win.c:836"
"TileWid"	"src/main-win.c:737 src/main-win.c:842"
"TileHgt"	"src/main-win.c:741 src/main-win.c:843"
"NumCols"	"src/main-win.c:745 src/main-win.c:846"
"NumRows"	"src/main-win.c:749 src/main-win.c:847"
"PositionX"	"src/main-win.c:766 src/main-win.c:850"
"PositionY"	"src/main-win.c:770 src/main-win.c:851"
"Maximized"	"src/main-win.c:774 src/main-win.c:830"
"Angband"	"src/main-win.c:791 src/main-win.c:795 src/main-win.c:799 src/main-win.c:803 src/main-win.c:872 src/main-win.c:875 src/main-win.c:878 src/main-win.c:881 src/main-win.c:884 src/main-win.c:887 src/main-win.c:892 src/main-win.c:5278 src/main-win.c:5280 src/main-x11.c:2428 src/buildid.h:4"
"Graphics_Nice"	"src/main-win.c:795 src/main-win.c:875"
"Term-%d"	"src/main-win.c:810 src/main-win.c:901"
"Wizard"	"src/main-win.c:884"
"Rebalance"	"src/main-win.c:887"
"Gamma"	"src/main-win.c:892"
"Please switch to high- or true-color mode."	"src/main-win.c:1053"
"Cannot create palette!"	"src/main-win.c:1116"
"Cannot realize palette!"	"src/main-win.c:1129"
"invalid tile prefname '%s'"	"src/main-win.c:1174"
"invalid tile dimensions in tileset: '%s'"	"src/main-win.c:1180"
"8x8.png"	"src/main-win.c:1196"
"old"	"src/main-win.c:1197 src/variable.c:225"
"_pre"	"src/main-win.c:1206"
"Cannot read file '%s'"	"src/main-win.c:1209 src/main-win.c:1245 src/main-win.c:1260"
".png"	"src/main-win.c:1219"
"_pre.png"	"src/main-win.c:1223"
"Cannot read premultiplied version of file '%s'"	"src/main-win.c:1238"
"Cannot activate palette!"	"src/main-win.c:1275"
".FON"	"src/main-win.c:1414"
"Angband Font Files (*.fon)"	"src/main-win.c:1479"
"fon"	"src/main-win.c:1485"
"Cannot initialize sound!"	"src/main-win.c:1669"
"mp3"	"src/main-win.c:1916 src/snd-sdl.c:218"
"Failed to create sub-window"	"src/main-win.c:2816"
"Failed to create %s window"	"src/main-win.c:2850"
"You cannot do that yet..."	"src/main-win.c:3461 src/main-win.c:3480"
"You can't start a new game while you're still playing!"	"src/main-win.c:3465"
"You can't open a new game while you're still playing!"	"src/main-win.c:3484"
"Save Files (*.)"	"src/main-win.c:3491"
"You may not do that right now."	"src/main-win.c:3524 src/main-win.c:3537 src/main-win.c:3600 src/main-win.c:3753 src/main-win.c:3827 src/main-win.c:3860 src/main-win.c:3972 src/main-win.c:4136 src/main-win.c:4186"
"You are not allowed to do that!"	"src/main-win.c:3553"
"This will reset the size and layout of the angband windows\n based on your screen size. Do you want to continue?"	"src/main-win.c:3759"
"WindowsScreenSaverClass"	"src/main-win.c:4075 src/main-win.c:5435"
"Angband Screensaver"	"src/main-win.c:4076"
"Failed to create saver window"	"src/main-win.c:4108"
"_%Y%b%d_%H%M%S.png"	"src/main-win.c:4168"
"Screenshot Save Failed."	"src/main-win.c:4174"
"Please exit any open menus before closing the game."	"src/main-win.c:4574 src/main-win.c:4591"
"Warning"	"src/main-win.c:5068 src/main-win.c:5117"
"[Choose 'New' or 'Open' from the 'File' menu]"	"src/main-win.c:5214"
".INI"	"src/main-win.c:5270"
"SaverFile"	"src/main-win.c:5278"
"AngbandPath"	"src/main-win.c:5280"
"%sangband.ini"	"src/main-win.c:5282"
"AngbandSaverSemaphore"	"src/main-win.c:5376"
"ANGBAND"	"src/main-win.c:5415 src/main-win.c:5418"
"Graphics list load failed"	"src/main-win.c:5480"
"ANGBAND_X11_GAMMA"	"src/main-x11.c:476"
"Couldn't allocate bitmap color #%04x%04x%04x\n"	"src/main-x11.c:505"
"ANGBAND_X11_FONT_%d"	"src/main-x11.c:522 src/main-x11.c:2372"
"ANGBAND_X11_FONT"	"src/main-x11.c:529"
"Caps Lock"	"src/main-x11.c:562"
"Alt"	"src/main-x11.c:633"
"Super"	"src/main-x11.c:634"
"cpy"	"src/main-x11.c:1054 src/main-x11.c:2710 src/main-x11.c:2718 src/main-x11.c:2726 src/main-x11.c:2735"
"3"	"src/main-x11.c:1054 src/main-x11.c:1063"
"xor"	"src/main-x11.c:1055 src/main-x11.c:2673"
"6"	"src/main-x11.c:1055"
"ior"	"src/main-x11.c:1057"
"7"	"src/main-x11.c:1057"
"nor"	"src/main-x11.c:1058"
"8"	"src/main-x11.c:1058"
"inv"	"src/main-x11.c:1059"
"10"	"src/main-x11.c:1059"
"clr"	"src/main-x11.c:1060"
"set"	"src/main-x11.c:1061"
"15"	"src/main-x11.c:1061"
"src"	"src/main-x11.c:1063"
"dst"	"src/main-x11.c:1064"
"5"	"src/main-x11.c:1064 src/main-x11.c:1068"
"+andReverse"	"src/main-x11.c:1066"
"2"	"src/main-x11.c:1066"
"+andInverted"	"src/main-x11.c:1067"
"4"	"src/main-x11.c:1067"
"+noop"	"src/main-x11.c:1068"
"+equiv"	"src/main-x11.c:1069"
"9"	"src/main-x11.c:1069"
"+orReverse"	"src/main-x11.c:1070"
"11"	"src/main-x11.c:1070"
"+copyInverted"	"src/main-x11.c:1071"
"12"	"src/main-x11.c:1071"
"+orInverted"	"src/main-x11.c:1072"
"13"	"src/main-x11.c:1072"
"+nand"	"src/main-x11.c:1073"
"14"	"src/main-x11.c:1073"
"bg"	"src/main-x11.c:1131"
"fg"	"src/main-x11.c:1134"
"zg"	"src/main-x11.c:1137"
"white"	"src/main-x11.c:1140"
"black"	"src/main-x11.c:1143"
"Warning: Couldn't parse color '%s'\n"	"src/main-x11.c:1148"
"Warning: Couldn't allocate color '%s'\n"	"src/main-x11.c:1154"
"Warning: Using 'fg' for unknown color '%s'\n"	"src/main-x11.c:1162"
"x11-settings.prf"	"src/main-x11.c:1581 src/main-x11.c:2625"
"# %s X11 settings\n\n"	"src/main-x11.c:2100"
"TERM_WINS=%d\n\n"	"src/main-x11.c:2103"
"# Term %d\n"	"src/main-x11.c:2113"
"AT_X_%d=%d\n"	"src/main-x11.c:2126"
"AT_Y_%d=%d\n"	"src/main-x11.c:2129"
"COLS_%d=%d\n"	"src/main-x11.c:2132"
"ROWS_%d=%d\n"	"src/main-x11.c:2135"
"IBOX_%d=%d\n"	"src/main-x11.c:2138"
"IBOY_%d=%d\n"	"src/main-x11.c:2141"
"FONT_%d=%s\n"	"src/main-x11.c:2144"
"TILE_WIDTH_%d=%d\n"	"src/main-x11.c:2147"
"TILE_HEIGHT_%d=%d\n"	"src/main-x11.c:2150"
"AT_X_%d"	"src/main-x11.c:2227"
"AT_Y_%d"	"src/main-x11.c:2237"
"COLS_%d"	"src/main-x11.c:2247"
"ROWS_%d"	"src/main-x11.c:2258"
"IBOX_%d"	"src/main-x11.c:2269"
"IBOY_%d"	"src/main-x11.c:2280"
"FONT_%d"	"src/main-x11.c:2291"
"TILE_WIDTH_%d"	"src/main-x11.c:2305"
"TILE_HEIGHT_%d"	"src/main-x11.c:2316"
"ANGBAND_X11_AT_X_%d"	"src/main-x11.c:2336"
"ANGBAND_X11_AT_Y_%d"	"src/main-x11.c:2342"
"ANGBAND_X11_COLS_%d"	"src/main-x11.c:2348"
"ANGBAND_X11_ROWS_%d"	"src/main-x11.c:2354"
"ANGBAND_X11_IBOX_%d"	"src/main-x11.c:2360"
"ANGBAND_X11_IBOY_%d"	"src/main-x11.c:2366"
"Couldn't load the requested font. (%s)"	"src/main-x11.c:2386"
"XAllocClassHint failed"	"src/main-x11.c:2422"
"XAllocSizeHints failed"	"src/main-x11.c:2437"
"Basic X11, subopts -d<display> -n<windows> -x<file>"	"src/main-x11.c:2521"
"-d"	"src/main-x11.c:2596"
"-x"	"src/main-x11.c:2610"
"TERM_WINS"	"src/main-x11.c:2649"
"Describe XXX, subopts -describe suboptions here"	"src/main-xxx.c:616"
"XXX XXX XXX"	"src/main-xxx.c:707"
"xxx"	"src/main-xxx.c:732 src/savefile.c:373 src/variable.c:219"
"%s tries to cast a spell, but fails."	"src/monster/melee2.c:342"
"%s mumbles."	"src/monster/melee2.c:353"
"%s concentrates on %s body."	"src/monster/melee2.c:355"
"insults you!"	"src/monster/melee2.c:1333"
"insults your mother!"	"src/monster/melee2.c:1334"
"gives you the finger!"	"src/monster/melee2.c:1335"
"humiliates you!"	"src/monster/melee2.c:1336"
"defiles you!"	"src/monster/melee2.c:1337"
"dances around you!"	"src/monster/melee2.c:1338"
"makes obscene gestures!"	"src/monster/melee2.c:1339"
"moons you!!!"	"src/monster/melee2.c:1340"
"wants his mushrooms back."	"src/monster/melee2.c:1352"
"tells you to get off his land."	"src/monster/melee2.c:1353"
"looks for his dogs. "	"src/monster/melee2.c:1354"
"says 'Did you kill my Fang?' "	"src/monster/melee2.c:1355"
"asks 'Do you want to buy any mushrooms?' "	"src/monster/melee2.c:1356"
"seems sad about something."	"src/monster/melee2.c:1357"
"asks if you have seen his dogs."	"src/monster/melee2.c:1358"
"mumbles something about mushrooms."	"src/monster/melee2.c:1359"
"You are covered in acid!"	"src/monster/melee2.c:1380"
"You are struck by electricity!"	"src/monster/melee2.c:1382"
"You are covered with frost!"	"src/monster/melee2.c:1386"
"%s is repelled."	"src/monster/melee2.c:1549"
"hits you."	"src/monster/melee2.c:1568"
"touches you."	"src/monster/melee2.c:1576"
"punches you."	"src/monster/melee2.c:1583"
"kicks you."	"src/monster/melee2.c:1591"
"claws you."	"src/monster/melee2.c:1599"
"bites you."	"src/monster/melee2.c:1607"
"stings you."	"src/monster/melee2.c:1615"
"butts you."	"src/monster/melee2.c:1622"
"crushes you."	"src/monster/melee2.c:1630"
"engulfs you."	"src/monster/melee2.c:1638"
"crawls on you."	"src/monster/melee2.c:1645"
"drools on you."	"src/monster/melee2.c:1652"
"spits on you."	"src/monster/melee2.c:1659"
"gazes at you."	"src/monster/melee2.c:1666"
"wails at you."	"src/monster/melee2.c:1673"
"releases spores at you."	"src/monster/melee2.c:1680"
"begs you for money."	"src/monster/melee2.c:1687"
"Energy drains from your pack!"	"src/monster/melee2.c:1824"
"You quickly protect your money pouch!"	"src/monster/melee2.c:1866"
"Nothing was stolen."	"src/monster/melee2.c:1880"
"Your purse feels lighter."	"src/monster/melee2.c:1884"
"%ld coins were stolen!"	"src/monster/melee2.c:1886"
"All of your coins were stolen!"	"src/monster/melee2.c:1888"
"You grab hold of your backpack!"	"src/monster/melee2.c:1933"
"%sour %s (%c) was stolen!"	"src/monster/melee2.c:1967"
"One of y"	"src/monster/melee2.c:1968 src/spells1.c:759"
"Your %s (%c) was eaten!"	"src/monster/melee2.c:2028"
"One of your %s (%c) was eaten!"	"src/monster/melee2.c:2031"
"Your light dims."	"src/monster/melee2.c:2069"
"You stand your ground!"	"src/monster/melee2.c:2172"
"You resist the effects!"	"src/monster/melee2.c:2199"
"You keep hold of your life force!"	"src/monster/melee2.c:2323 src/monster/melee2.c:2354 src/monster/melee2.c:2385 src/monster/melee2.c:2416"
"You feel your life slipping away!"	"src/monster/melee2.c:2330 src/monster/melee2.c:2362 src/monster/melee2.c:2393 src/monster/melee2.c:2424"
"You feel your life draining away!"	"src/monster/melee2.c:2335 src/monster/melee2.c:2367 src/monster/melee2.c:2398 src/monster/melee2.c:2429"
"%s misses you."	"src/monster/melee2.c:2539"
"There is a puff of smoke!"	"src/monster/melee2.c:2569"
"%s wakes up."	"src/monster/melee2.c:2677"
"%s slams against the door."	"src/monster/melee2.c:2909"
"%s fiddles with the lock."	"src/monster/melee2.c:2911"
"Something slams against a door."	"src/monster/melee2.c:2914"
"Something fiddles with a lock."	"src/monster/melee2.c:2916"
"%s tramples over %s."	"src/monster/melee2.c:3046"
"%s pushes past %s."	"src/monster/melee2.c:3052"
"%s tries to pick up %s, but fails."	"src/monster/melee2.c:3127"
"%s picks up %s."	"src/monster/melee2.c:3140"
"%s crushes %s."	"src/monster/melee2.c:3160"
"bad s-flag: %s"	"src/monster/mon-init.c:122"
"N str name"	"src/monster/mon-init.c:148"
"G char glyph"	"src/monster/mon-init.c:149 src/monster/mon-init.c:573"
"M uint pain"	"src/monster/mon-init.c:150"
"monster_base"	"src/monster/mon-init.c:158 src/monster/mon-init.c:182"
"speed"	"src/monster/mon-init.c:250 src/object/obj-info.c:92 src/z-msg-list.h:68"
"hp"	"src/monster/mon-init.c:251"
"aaf"	"src/monster/mon-init.c:252"
"sleep"	"src/monster/mon-init.c:254"
"power"	"src/monster/mon-init.c:265"
"mexp"	"src/monster/mon-init.c:266"
"method"	"src/monster/mon-init.c:314"
"damage"	"src/monster/mon-init.c:322 src/monster/mon-init.c:323"
"bad f2-flag: %s"	"src/monster/mon-init.c:346"
"bad mf-flag: %s"	"src/monster/mon-init.c:370"
"1_IN_%d"	"src/monster/mon-init.c:401"
"bad sf-flag: %s"	"src/monster/mon-init.c:410"
"chance"	"src/monster/mon-init.c:450 src/monster/mon-init.c:492 src/monster/mon-init.c:511"
"number"	"src/monster/mon-init.c:489 src/monster/mon-init.c:508"
"plural"	"src/monster/mon-init.c:553 src/monster/mon-init.c:554"
"plural ?str plural"	"src/monster/mon-init.c:571"
"I int speed int hp int aaf int ac int sleep"	"src/monster/mon-init.c:575"
"W int level int rarity int power int mexp"	"src/monster/mon-init.c:576"
"B sym method ?sym effect ?rand damage"	"src/monster/mon-init.c:577"
"-F ?str flags"	"src/monster/mon-init.c:579"
"S str spells"	"src/monster/mon-init.c:581"
"drop sym tval sym sval uint chance uint min uint max"	"src/monster/mon-init.c:582"
"drop-artifact str name"	"src/monster/mon-init.c:583"
"friends uint chance rand number str name"	"src/monster/mon-init.c:584"
"friends-base uint chance rand number str name"	"src/monster/mon-init.c:585"
"mimic sym tval sym sval"	"src/monster/mon-init.c:586"
"monster"	"src/monster/mon-init.c:591 src/monster/mon-init.c:692"
"same"	"src/monster/mon-init.c:629"
"Monster '%s' has friend '%s' but I couldn't find any monster of that name"	"src/monster/mon-init.c:635"
":"	"src/monster/mon-list.c:343 src/object/obj-list.c:428 src/parser.c:268 src/parser.c:294 src/h-basic.h:226"
"other "	"src/monster/mon-list.c:344"
"%s no monsters.\n"	"src/monster/mon-list.c:353"
"%s %d %smonster%s%s\n"	"src/monster/mon-list.c:365"
" %d %s %d %s"	"src/monster/mon-list.c:386 src/object/obj-list.c:467"
" (%d asleep)"	"src/monster/mon-list.c:393"
" (asleep)"	"src/monster/mon-list.c:395"
"%-*s%s\n"	"src/monster/mon-list.c:420 src/object/obj-list.c:501"
"%6s...and %d others.\n"	"src/monster/mon-list.c:441 src/object/obj-list.c:519"
"Your hallucinations are too wild to see things clearly.\n"	"src/monster/mon-list.c:461"
"You can see"	"src/monster/mon-list.c:534 src/object/obj-list.c:580"
"You are aware of"	"src/monster/mon-list.c:542"
"do something weird"	"src/monster/mon-lore.c:609"
"do weird things"	"src/monster/mon-lore.c:632"
"prefers to ignore"	"src/monster/mon-lore.c:651"
"pays very little attention to"	"src/monster/mon-lore.c:652"
"pays little attention to"	"src/monster/mon-lore.c:653"
"tends to overlook"	"src/monster/mon-lore.c:654"
"takes quite a while to see"	"src/monster/mon-lore.c:655"
"takes a while to see"	"src/monster/mon-lore.c:656"
"is fairly observant of"	"src/monster/mon-lore.c:657"
"is observant of"	"src/monster/mon-lore.c:658"
"is very observant of"	"src/monster/mon-lore.c:659"
"is vigilant for"	"src/monster/mon-lore.c:660"
"is ever vigilant for"	"src/monster/mon-lore.c:673"
"incredibly quickly"	"src/monster/mon-lore.c:690"
"very quickly"	"src/monster/mon-lore.c:691"
"quickly"	"src/monster/mon-lore.c:692"
"normal speed"	"src/monster/mon-lore.c:693"
"slowly"	"src/monster/mon-lore.c:694"
"very slowly"	"src/monster/mon-lore.c:695"
"incredibly slowly"	"src/monster/mon-lore.c:696"
"erroneously"	"src/monster/mon-lore.c:709"
"it"	"src/monster/mon-lore.c:736 src/monster/mon-msg.c:291 src/monster/mon-msg.c:300 src/monster/mon-msg.c:440 src/monster/mon-util.c:230 src/monster/mon-util.c:236 src/monster/mon-util.c:237"
"he"	"src/monster/mon-lore.c:737 src/monster/mon-util.c:246"
"He"	"src/monster/mon-lore.c:737"
"she"	"src/monster/mon-lore.c:738 src/monster/mon-util.c:256"
"She"	"src/monster/mon-lore.c:738"
"its"	"src/monster/mon-lore.c:763 src/monster/mon-util.c:238"
"Its"	"src/monster/mon-lore.c:763"
"his"	"src/monster/mon-lore.c:764 src/monster/mon-util.c:248"
"His"	"src/monster/mon-lore.c:764"
"her"	"src/monster/mon-lore.c:765 src/monster/mon-util.c:257 src/monster/mon-util.c:258"
"Her"	"src/monster/mon-lore.c:765"
"%s has slain %d of your ancestors"	"src/monster/mon-lore.c:947"
", but you have taken revenge!  "	"src/monster/mon-lore.c:951"
", who %s unavenged.  "	"src/monster/mon-lore.c:955"
"remains"	"src/monster/mon-lore.c:955"
"remain"	"src/monster/mon-lore.c:955"
"You have slain this foe.  "	"src/monster/mon-lore.c:959"
"%d of your ancestors %s been killed by this creature, "	"src/monster/mon-lore.c:970"
"has"	"src/monster/mon-lore.c:970"
"have"	"src/monster/mon-lore.c:970"
"and you have exterminated at least %d of the creatures.  "	"src/monster/mon-lore.c:974"
"and your ancestors have exterminated at least %d of the creatures.  "	"src/monster/mon-lore.c:979"
"and %s is not ever known to have been defeated.  "	"src/monster/mon-lore.c:984"
"You have killed at least %d of these creatures.  "	"src/monster/mon-lore.c:992"
"Your ancestors have killed at least %d of these creatures.  "	"src/monster/mon-lore.c:997"
"No battles to the death are recalled.  "	"src/monster/mon-lore.c:1002"
"This"	"src/monster/mon-lore.c:1044"
" creature"	"src/monster/mon-lore.c:1057"
" lives in the town"	"src/monster/mon-lore.c:1061"
" is found "	"src/monster/mon-lore.c:1067"
" is normally found "	"src/monster/mon-lore.c:1069"
"at depths of "	"src/monster/mon-lore.c:1071"
" feet (level "	"src/monster/mon-lore.c:1073"
")"	"src/monster/mon-lore.c:1075"
", and moves"	"src/monster/mon-lore.c:1078"
" extremely"	"src/monster/mon-lore.c:1084"
" somewhat"	"src/monster/mon-lore.c:1086"
" a bit"	"src/monster/mon-lore.c:1088"
" erratically"	"src/monster/mon-lore.c:1091"
"at "	"src/monster/mon-lore.c:1102"
", but "	"src/monster/mon-lore.c:1108"
"does not deign to chase intruders"	"src/monster/mon-lore.c:1109"
".  "	"src/monster/mon-lore.c:1113 src/monster/mon-lore.c:1151 src/monster/mon-lore.c:1288 src/monster/mon-lore.c:1334 src/monster/mon-lore.c:1347 src/monster/mon-lore.c:1446 src/monster/mon-lore.c:1507 src/monster/mon-lore.c:1560 src/monster/mon-lore.c:1710 src/monster/mon-lore.c:1804"
"%s has an armor rating of "	"src/monster/mon-lore.c:1140"
", and a"	"src/monster/mon-lore.c:1144"
"n average"	"src/monster/mon-lore.c:1147"
" life rating of "	"src/monster/mon-lore.c:1149"
"You have a"	"src/monster/mon-lore.c:1166"
" %d"	"src/monster/mon-lore.c:1169"
" percent chance to hit such a creature in melee (if you can see it).  "	"src/monster/mon-lore.c:1170"
"Killing"	"src/monster/mon-lore.c:1195"
"A kill of"	"src/monster/mon-lore.c:1197"
" this creature"	"src/monster/mon-lore.c:1199"
"%ld"	"src/monster/mon-lore.c:1208 src/wizard.c:279 src/wizard.c:295 src/wiz-spoil.c:618"
".%02ld"	"src/monster/mon-lore.c:1209"
" is worth "	"src/monster/mon-lore.c:1212"
"%s point%s"	"src/monster/mon-lore.c:1213"
"st"	"src/monster/mon-lore.c:1219"
" for %s %lu%s level character.  "	"src/monster/mon-lore.c:1229"
"%s may carry"	"src/monster/mon-lore.c:1260"
" a single "	"src/monster/mon-lore.c:1264"
" one or two "	"src/monster/mon-lore.c:1266"
" up to "	"src/monster/mon-lore.c:1268"
"exceptional "	"src/monster/mon-lore.c:1274"
"good "	"src/monster/mon-lore.c:1276"
"error%s"	"src/monster/mon-lore.c:1280"
"object%s"	"src/monster/mon-lore.c:1282"
"treasure%s"	"src/monster/mon-lore.c:1284"
"object%s or treasure%s"	"src/monster/mon-lore.c:1286"
"%s can "	"src/monster/mon-lore.c:1332 src/monster/mon-lore.c:1779"
"%s is "	"src/monster/mon-lore.c:1345"
"%s disguises itself to look like something else.  "	"src/monster/mon-lore.c:1352"
"%s breeds explosively.  "	"src/monster/mon-lore.c:1354"
"%s regenerates quickly.  "	"src/monster/mon-lore.c:1356"
"%s illuminates %s surroundings.  "	"src/monster/mon-lore.c:1358"
"%s is hurt by "	"src/monster/mon-lore.c:1368"
", but resists "	"src/monster/mon-lore.c:1393"
"%s resists "	"src/monster/mon-lore.c:1395"
", and does not resist "	"src/monster/mon-lore.c:1419"
"%s does not resist "	"src/monster/mon-lore.c:1421"
