Original text	Translation
"Recharge which item? "	"Перезарядить какой предмет? "
"Recharging"	"Перезарядка"
"recite"	"Прочитать"
"reduce all stats"	"уменьшения всех показателей"
"reduce charisma"	"уменьшения обаяния"
"reduce constitution"	"уменьшения телосложения"
"reduce dexterity"	"уменьшения ловкости"
"reduce intelligence"	"уменьшения интеллекта"
"Reduce lite-radius when running"	"Уменьшать радиус света при беге"
"reduce strength"	"уменьшения силы"
"reduce wisdom"	"уменьшения мудрости"
"Red"	"Красный"
"Refill with which source of oil? "	"Заполнить каким источником масла? "
"Refuel with which torch? "	"Добавить какой факел? "
"Regen:"	"Реген:"
"release spores"	"выбрасывать споры"
"releases spores at you."	"высыпает споры на вас."
"Remembrance"	"Воспоминания"
"Remove Curse"	"Снятие Заклятий"
"Removed a keymap."	"Карта клавиш удалена."
"Removed a macro."	"Макрос удален"
"remove fear and cure poison"	"снятия страха и лечения яда"
"Remove Fear"	"Снятие Страха"
"Rend Soul"	"Пытка Души"
"Rep. %3d00"	"Пвт. %3d00"
"Repeat %3d"	"Повтор %3d"
"Repeat obvious commands"	"Повторять очевидные команды"
"Replace existing file %s? "	"Заменить файл %s? "
"Reset recall depth? "	"Сбросить глубину возвращения? "
"resistance (20+d20 turns)"	"сопротивления (20+d20 ходов)"
"Resistance"	"Сопротивление"
"Resist Cold"	"Сопротивление Холоду"
"Resist Fire"	"Сопротивление Огню"
"Resist Heat and Cold"	"Сопротивление Огню и Холоду"
"Resist Poison"	"Сопротивление Яду"
" resists a lot."	" сопротивляется."
" resists somewhat."	" немного сопротивляется."
" resists "	" сопротивляется "
" resists."	" сопротивляется."
"Rest (0-9999, '*' for HP/SP, '&' as needed): "	"Отдыхать (0-9999, '*' для HP/SP, '&' по необх.): "
"Restoration"	"Восстановление"
"restore life levels"	"восстановления жизни"
"Restoring Dungeon..."	"Восстановления подземелья..."
"Rest      "	"Отдых     "
"Ridiculous!"	"Не смешите."
"Rift"	"Сдвиг"
"Rings"	"Кольца"
"& # Ring~"	"& # кол\\ь|ец*о$N2D"
"Ripe Old Age"	"(умер от старости)"
"rock remover"	"плавке камня"
"Rods"	"Жезлы"
"& # Rod~"	"& # жезл$N2A"
"Rogue-like commands"	"Команды Rogue"
"  Roll"	"Попыт."
"Round:"	"Попыт:"
"R:Reptile/Amphibian"	"R:Рептилия/Амфибия"
"r:Rodent"	"r:Крыса"
"'r' to reroll"	"'r' - другой"
"::Rubble"	"::Мусор"
"Rune of Protection"	"Руна Защиты"
"Sanctuary"	"Убежище"
"%^s appears confused."	"%^s контужен%s."
"%^s appears healthier."	"%^s выглядит здоровее."
"Satisfy Hunger"	"Удовлетворение Голода"
"Savefile does not exist."	"Сохраненная игра не существует."
"Savefile is currently in use."	"Сохраненная игра уже используется."
"Savefile is from the future"	"Сохраненная игра из будущего"
"Savefile is too old"	"Сохраненная игра слишком стара"
"Save Files (*.)\0*\0"	"Сохраненные игры (*.)\0*\0"
"Saving game... done."	"Сохранение... сделано."
"Saving game... failed!"	"Сохранение... не удалось!"
"Saving game..."	"Сохранение..."
"Saving Throw"	"Сохранение"
"%^s barely notices."	"%^s не замечает атаки."
"%^s blinks away."	"%^s телепортируется недалеко."
"%^s breathes acid."	"%^s дышит кислотой."
"%^s breathes chaos."	"%^s дышит хаосом."
"%^s breathes confusion."	"%^s дышит контузией."
"%^s breathes darkness."	"%^s дышит темнотой."
"%^s breathes disenchantment."	"%^s дышит антимагией."
"%^s breathes fire."	"%^s дышит огнем."
"%^s breathes frost."	"%^s дышит холодом."
"%^s breathes gas."	"%^s дышит газом."
"%^s breathes gravity."	"%^s дышит гравитацией."
"%^s breathes inertia."	"%^s дышит инерцией."
"%^s breathes lightning."	"%^s дышит молнией."
"%^s breathes light."	"%^s дышит светом."
"%^s breathes nether."	"%^s дышит могильной силой."
"%^s breathes nexus."	"%^s дышит пространством."
"%^s breathes plasma."	"%^s дышит плазмой."
"%^s breathes shards."	"%^s дышит осколками."
"%^s breathes sound."	"%^s дышит звуком."
"%^s breathes."	"%^s дышит."
"%^s breathes time."	"%^s дышит временем."
"%^s breeds explosively.  "	"%^s быстро размножается.  "
"%^s can "	"%^s может "
"Scare Monster"	"Устрашение Монстра"
"%^s casts a acid bolt."	"%^s колдует кислотную стрелу."
"%^s casts a fearful illusion."	"%^s создает страшную иллюзию."
"%^s casts a fire ball."	"%^s колдует огненный шар."
"%^s casts a fire bolt."	"%^s колдует огненную стрелу."
"%^s casts a frost ball."	"%^s колдует ледяной шар."
"%^s casts a frost bolt."	"%^s колдует ледяную стрелу."
"%^s casts a lightning ball."	"%^s колдует шаровую молнию."
"%^s casts a lightning bolt."	"%^s колдует удар молнии."
"%^s casts a magic missile."	"%^s колдует волшебную стрелу."
"%^s casts a mana bolt."	"%^s колдует стрелу маны."
"%^s casts an acid ball."	"%^s колдует кислотный шар."
"%^s casts a nether ball."	"%^s колдует могильный шар."
"%^s casts a nether bolt."	"%^s колдует могильную стрелу."
"%^s casts an ice bolt."	"%^s колдует мощную ледяную стрелу."
"%^s casts a plasma bolt."	"%^s колдует плазменную стрелу."
"%^s casts a spell and cackles evilly."	"%^s колдует заклинание и злобно хихикает."
"%^s casts a spell, burning your eyes!"	"%^s колдует заклинание, выжигающее ваши глаза!"
"%^s casts a stinking cloud."	"%^s колдует вонючее облако."
"%^s casts a water bolt."	"%^s колдует струю воды."
"%^s commands you to return."	"%^s приказывает вам вернуться."
"%^s concentrates on %s body."	"%^s концентрируется на своем теле."
"%^s concentrates on %s wounds."	"%^s концентрируется на своих ранах."
"Score: Allow player to avoid death"	"Счет: Позволить избегать смерти"
"Score file unavailable."	"Файл рекордов отсутствует."
"Score: Know complete monster info"	"Счет: Включить полную информацию о монстрах"
"Score not registered due to interruption."	"Счет не засчитывается из-за прерывания."
"Score not registered due to quitting."	"Счет не засчитывается из-за выхода."
"Score not registered for borgs."	"Счет не засчитывается для боргов."
"Score not registered for cheaters."	"Счет не засчитывается для читеров."
"Score not registered for wizards."	"Счет не засчитывается для волшебников."
"Score: Peek into dungeon creation"	"Счет: Просматривать создание подземелья"
"Score: Peek into monster creation"	"Счет: Просматривать создание монстров"
"Score: Peek into object creation"	"Счет: Просматривать создание объектов"
"Score: Peek into something else"	"Счет: Просматривать прочие детали"
"%^s creates a mesmerising illusion."	"%^s создает странную иллюзию."
"Screen dump loaded."	"Дамп экрана загружен."
"%^s cries out feebly."	"%^s слабо кричит."
"%^s cries out in pain."	"%^s кричит от боли."
"Scroll map while targetting"	"Прокручивать карту при прицеливании"
"Scrolls"	"Свитки"
"& Scroll~ titled \"	"& свит*ок$N2A \"
"%^s crushes %s."	"%^s сокрушает %s."
"S.Dig:"	"М.Пищ:"
"%^s drains power from your muscles!"	"%^s вытягивает силы из ваших мускулов!"
"%^s draws psychic energy from you!"	"%^s высысывает из вас психическую энергию!"
"Searching "	"Поиск     "
"Searching"	"Поиск"
"searching"	"способность к поиску"
"Search string not found!"	"Строка не найдена!"
"Sear.:"	"Поиск:"
"seems sad about something."	"выглядит грустным."
"See the 'readme.txt' file for more information."	"Смотрите файл 'readme.txt'.\n"
"  Self"	"  Соб."
"Selling %s (%c)."	"Продается %s (%c)."
"Sell which item? "	"Продать какой предмет? "
"Sense Invisible"	"Чувствовать Невидимое"
"Sense Surroundings"	"Чувствовать Окружающее"
"Severe cut  "	"Страшн. раны  "
"Sex"	"Пол"
"%^s flees in terror!"	"%^s бежит в ужасе!"
"%^s flinches."	"%^s дергается."
"%^s gazes deep into your eyes."	"%^s пристально смотрит вам в глаза."
"%^s gestures fluidly."	"%^s делает странные движения."
"%^s gestures in shadow."	"%^s бормочет в тени."
"%^s grunts with pain."	"%^s пыхтит от боли."
"                %s Hall of Fame"	"                %s - Зал Славы"
"shards"	"осколками"
"Shard:"	"Оскол:"
"%^s has an armor rating of %d"	"%^s имеет класс брони %d"
"%^s has %d hit points."	"%^s имеет %d здоровья."
"%^s has no physical attacks.  "	"%^s не имеет физических атак.  "
"%^s has slain %d of your ancestors"	"%^s убил%s %d ваших предшественников"
"shatter"	"землетрясений"
" shatter!"	" разбиваются!"
"she"	"она"
"Shields"	"Щиты"
"Shield"	"Щит"
"Shock Wave"	"Ударная Волна"
"shoot acid"	"выстреливания кислоты"
"shooting missiles with"	"стреляете с помощью:"
"shooting power"	"силу стрельбы"
"shooting speed"	"скорость стрельбы"
"Shooting"	"Стрельба"
"Shoot"	"Огонь"
"Shots"	"Выст."
"Shots:"	"Выстр:"
"Show choices in inven/equip windows"	"Показывать выбор в инвентаре/экипировке"
"Show details in monster descriptions"	"Показывать детали в описаниях монстров"
"Show dungeon level in feet"	"Показывать уровень в футах"
"Show flavors in object descriptions"	"Показывать 'материалы' в описаниях предметов"
"Show labels in equipment listings"	"Показывать метки для надетых предметов"
"%^s howls in agony."	"%^s воет в агонии."
"%^s howls in pain."	"%^s воет от боли."
"Show stacks using special attr/char"	"Показывать кучи специальным символом"
"Show weights in all object listings"	"Показывать веса предметов"
"Show: "	"Показать: "
"shriek for help"	"кричать о помощи"
" shrivels away in the light!"	" погибает от лучей света!"
" shudders."	" трясется."
"Shuffling a Shopkeeper..."	"Смена продавца..."
"%^s hurls a boulder at you!"	"%^s бросает в вас валун!"
"sickly"	"болезненным"
"%^s ignores the attack."	"%^s игнорирует атаку."
"Silver "	"серебрян"
" silver "	" серебряных "
"%^s invokes a darkness storm."	"%^s вызывает шторм тьмы."
"%^s invokes a mana storm."	"%^s вызывает шторм маны."
"%^s is cold blooded.  "	"%^s холоднокров%s.  "
"%^s is embedded in the rock!"	"%^s замуровывается камнями!"
"%^s is invisible.  "	"%^s невидим%s.  "
"%^s is no longer confused."	"%^s больше не контужен%s."
"%^s is no longer stunned."	"%^s больше не оглушен%s."
"%^s is not detected by telepathy.  "	"%^s не обнаруживается телепатией.  "
"%^s is rarely detected by telepathy.  "	"%^s редко обнаруживается телепатией.  "
"%^s is repelled."	"%^s отражается."
"%^s is"	"%^s может"
"%^s is unaffected."	"%^s не воздействован%s."
"%^s is unharmed."	"%^s не задет%s."
"%^s jerks limply."	"%^s слабо дергается."
"Slate"	"Серый"
"sleep II"	"усыпления II"
"Sleep Monster"	"Усыпление Монстра"
"slept"	"усыплен%s"
"%^s looks deep into your eyes."	"%^s глубоко смотрит вам в глаза."
"%^s looks healthier."	"%^s выглядит здоровее."
"%^s looks REALLY healthy!"	"%^s просто блещет здоровьем!"
"Slow (-%d)"	"Медл (-%d)"
" slowly"	" медленно"
"Slow Monster"	"Замедление Монстра"
"Slow Poison"	"Замедление Яда"
"slows your metabolism"	"замедляет пищеварение"
"slow"	"замедляют"
"%^s magically summons a dragon!"	"%^s вызывает дракона!"
"%^s magically summons a hellish adversary!"	"%^s вызывает подмогу из ада!"
"%^s magically summons an angel!"	"%^s вызывает ангела!"
"%^s magically summons ancient dragons!"	"%^s вызывает древних драконов!"
"%^s magically summons animals."	"%^s вызывает животных!"
"%^s magically summons an undead adversary!"	"%^s вызывает подмогу из могилы!"
"%^s magically summons greater demons!"	"%^s вызывает великих демонов!"
"%^s magically summons greater undead!"	"%^s вызывает живых мертвецов!"
"%^s magically summons help!"	"%^s вызывает подмогу!"
"%^s magically summons hounds."	"%^s вызывает гончих эфира!"
"%^s magically summons hydras."	"%^s вызывает гидр!"
"%^s magically summons mighty undead opponents!"	"%^s вызывает Девятерых Кольценосцев!"
"%^s magically summons monsters!"	"%^s вызывает монстров!"
"%^s magically summons special opponents!"	"%^s вызывает легендарных оппонентов!"
"%^s magically summons spiders."	"%^s вызывает пауков!"
"%^s magically summons %s %s."	"%^s вызывает своих %s!"
"%^s makes a high pitched shriek."	"%^s громко пищит."
"smart"	"умным"
"%^s may carry"	"%^s может нести"
"%^s misses you."	"%^s не попадает в вас."
"%^s mumbles, and then cackles evilly."	"%^s бормочет и злобно хихикает."
"%^s mumbles, and you hear puzzling noises."	"%^s бормочет, и вы слышите загадочные звуки."
"%^s mumbles, and you hear scary noises."	"%^s бормочет, и вы слышите страшные звуки."
"%^s mumbles loudly."	"%^s громко бормочет."
"%^s mumbles powerfully."	"%^s громко заклинает."
"%^s mumbles."	"%^s бормочет."
"(:Soft armor"	"(:Мягкие доспехи"
"Some of y"	"Некоторые из ваших"
"someone's"	"чей-то"
"someone"	"кто-то"
"something strange"	"что-то странное"
"something's"	"чей-то"
"something"	"что-то"
"somewhat wounded"	"легко ранен%s"
"%s options"	"Опции %s"
"Sorry, what was that again?"	"Вы не могли бы повторить?"
"Sound:"	"Звук :"
"sound"	"звуком"
"%sour %s (%c) %s destroyed!"	"%s %s (%c) %s уничтожен%s!"
"%sour %s (%c) was eaten!"	"Ваш%s %s (%c) был%s съеден%s!"
"%sour %s (%c) was stolen!"	"Ваш%s %s (%c) был%s похищен%s!"
" SPACE) Next page of stock."	" SPACE) Следующ. страница"
" spawns!"	" удваивается!"
"Spd:-%d  "	"Ско:-%d  "
"Spd:+%d  "	"Ско:+%d  "
"Spear of Light"	"Копье Света"
"special"	"особый"
"speeds your regeneration"	"ускоряет вашу регенерацию"
"Speed:"	"Скоро:"
"speed"	"скорость"
"%^s picks up %s."	"%^s поднимает %s."
"spits on you."	"плюет на вас."
"spit"	"плевать"
"Spoiler File -- Basic Items (%s)\n\n\n"	"Файл спойлера -- Основные предметы (%s)\n\n\n"
"%^s points at you and curses horribly."	"%^s указывает на вас и громко заклинает."
"%^s points at you and curses."	"%^s указывает на вас и заклинает."
"%^s points at you, incanting terribly!"	"%^s указывает на вас и произносит ужасное проклятье!"
"%^s points at you, screaming the word DIE!"	"%^s указывает на вас и кричит 'УМРИ'!"
"SP"	"Мана"
"%^s quivers in pain."	"%^s извивается от боли."
"%^s recovers %s courage."	"К %s возвращается храбрость."
"%^s regenerates quickly.  "	"%^s быстро регенерирует.  "
"%s (RET to advance, y/n to set, ESC to accept, ? for help) "	"%s (RET вперед, y/n установка, ESC выход, ? справка) "
"(%^ss %c-%c, *=List, ESC=exit) %^s which %s? "	"(Заклинания %c-%c, *=список, ESC=выход) %s какое заклинание? "
"  [%s %s Character Dump]\n\n"	"  [%s %s Информация о герое]\n\n"
"%^s screams in agony."	"%^s вопит в агонии."
"%^s screams in pain."	"%^s вопит от боли."
"%^s screams the word 'DIE!'"	"%^s кричит 'УМРИ!'"
"%^s: %s (%c)."	"Вы используете: %s (%c)."
"%^s %s (%d mana, %d%% fail)? "	"%^s %s (%d мана, %d%% сбой)? "
"%s %s glow%s brightly!"	"%s ярко свет%cтся!"
"%^s shrieks in agony."	"%^s вопит в агонии."
"%^s shrieks in pain."	"%^s вопит от боли."
"%^s shrugs off the attack."	"%^s не замечает атаки."
"%^s %s intruders, which %s may notice from %d feet.  "	"%^s %s чужих, которых %s может заметить с %d футов.  "
"s:Skeleton"	"s:Скелет"
"%^s snarls with pain."	"%^s рычит от боли."
"%^s sounds healthier."	"%^s звучит здоровее."
"%^s sounds REALLY healthy!"	"%^s просто блещет здоровьем!"
"S:Spider/Scorpion/Tick"	"S:Паук/Скорпион/Клещ"
"%^s squeals in pain."	"%^s шипит от боли."
"%^s squelches."	"%^s пульсирует."
"%s%s%sa pile of %d objects [r,%s] (%d:%d)"	"%s%s%sкучу из %d предметов [r,%s] (%d:%d)"
"%s%s%sa pile of %d objects [r,%s]"	"%s%s%sкучу из %d предметов [r,%s]"
"[%s %s, %s, Line %d-%d/%d]"	"[%s %s, %s, строка %d-%d/%d]"
"%^s stares deep into your eyes!"	"%^s странно смотрит вам в глаза."
"%^s starts moving faster."	"%^s начинает двигаться быстрее."
"Staffs"	"Посохи"
"& # Staff~"	"& # посох$N2A"
"Stair Creation"	"Создание Лестниц"
"star ball (150)"	"звездного шара (150)"
"starlight (10d8)"	"звездного света (10d8)"
" starts moving faster."	" начинает двигаться быстрее."
" starts moving slower."	" начинает двигаться медленнее."
"starvation"	"голоданием"
"Status"	"Статус"
"steal gold"	"кражи золота"
"steal items"	"кражи предметов"
"stealth"	"скрытность"
"Stealth"	"Скрытность"
"Stea.:"	"Скрыт:"
"%^s teleports away."	"%^s телепортируется куда-то."
"%^s teleports you away."	"%^s телепортирует вас куда-то."
"stings you."	"жалит вас."
"sting"	"жалить"
"stinking cloud (12)"	"ядовитого облака (12)"
"Stinking Cloud"	"Вонючее Облако"
"stone to mud"	"плавки камня"
"strength"	"сила"
"%^s tries to blank your mind."	"%^s пытается стереть вашу память."
"%^s tries to cast a spell, but fails."	"%^s пытается сколдовать заклинание, но не может."
"%^s tries to pick up %s, but fails."	"%^s пытается поднять %s, но не может."
"strong"	"сильным"
"Str: "	"Сил: "
"STR: "	"СИЛ: "
"Study which book? "	"Учить из какой книги? "
"Study"	"Обуч "
"study"	"Учить"
", stunned"	", оглушен%s"
"stunned"	"оглушен%s"
"Stun        "	"Оглушен     "
"stupid"	"глупым"
"%^s turns to fight!"	"%^s оборачивается в отчаянии!"
"Successfully created a spoiler file."	"Успешно создан файл спойлера."
"summon a demon"	"вызывают демона"
"summon a dragon"	"вызывают дракона"
"summon a monster"	"вызывают монстра"
"summon an angel"	"вызывают ангела"
"summon Ancient Dragons"	"вызывают Древних Драконов"
"summon animals"	"вызывают животных"
"summon an undead"	"вызывают живого мертвеца"
"summon Greater Demons"	"вызывают Великих Демонов"
"summon Greater Undead"	"вызывают великих Живых Мертвецов"
"summon hounds"	"вызывают гончих"
"summon hydras"	"вызывают гидр"
" (Summoning Runes)"	" (руны вызова)"
"summon monsters"	"вызывают монстров"
"summon Ring Wraiths"	"вызывают Девятерых Кольценосцев"
"summon similar monsters"	"вызывают похожих монстров"
"summon spiders"	"вызывают пауков"
"summon Unique Monsters"	"вызывают уникальных монстров"
"Superb"	"Превосходно"
"%^s usually appears in groups.  "	"%^s обычно появляется в группах.  "
"%^s usually appears with escorts.  "	"%^s обычно появляется с похожими существами.  "
"%^s wails out in pain!"	"%^s воет от боли!"
"%^s wakes up."	"%^s просыпается."
"%^s writhes about."	"%^s бьется в конвульсиях."
"%^s writhes in agony."	"%^s бьется в агонии."
"%^s yelps feebly."	"%^s слабо скулит."
"%^s yelps in pain."	"%^s лает от боли."
"Taken!"	"Продано!"
"Take off which item? "	"Снять какой предмет? "
"takes a while to see"	"медленно находит"
"takes quite a while to see"	"довольно медленно находит"
"Target Aborted."	"Цель отменена."
"Target Selected."	"Цель задана."
"teleport away"	"телепортации монстра"
"Teleport Level"	"Межуровневая Телепортация"
"teleport level"	"телепортируют вас между уровнями"
"Teleport Other"	"Телепортация Монстра"
"Teleport Self"	"Телепортация"
"teleport-self"	"телепортируют"
"teleport to"	"телепортируют вас к нему"
"teleport"	"телепортации"
"Telep:"	"Телеп:"
"tells you to get off his land."	"требует убраться с его земли."
"tends to overlook"	"не интересуется"
"terrible black aura"	"но ваш%s %s сопротивляется эффекту!"
"terrible"	"ужасный"
"terrify"	"пугают"
"That command does not work in stores."	"Эта команда не работает в магазинах."
"That is not a valid debug command."	"Неправильная команда отладки."
"That item had no inscription to remove."	"На этом предмете ничего не написано."
"That's all."	"И все."
"That tastes good."	"Вкусно!"
"the ability to see invisible things"	"возможность видеть невидимое"
"The air about you becomes charged..."	"Воздух вокруг вас заряжается..."
"The auto-roller will automatically ignore characters which do"	"Автороллер автоматически генерирует героя, который удовлетворяет"
"The Branding failed."	"Пометка не удалась."
"The cave ceiling collapses!"	"Потолок пещеры обрушивается!"
"The cave floor twists in an unnatural way!"	"Пол пещеры неестественно изгибается!"
"The cave quakes!"	"Пещера трясется!"
"The chest is not trapped."	"В этом сундуке нет ловушки."
"The curse is broken!"	"Проклятье снято!"
"The door appears to be broken."	"Эта дверь выбита."
"The door appears to be stuck."	"Эта дверь заколочена."
"The door crashes open!"	"Дверь выламывается!"
"The door holds firm."	"Дверь держит крепко."
"The doors are locked."	"Магазин закрыт."
"The door turns into mud!"	"Дверь расплавляется!"
"The enchantment failed."	"Зачарование не удалось."
"The end of the staff glows brightly..."	"Конец посоха ярко вспыхивает..."
"the entrance to the "	"вход в "
"The gates to ANGBAND are closing..."	"Врата в ANGBAND закрываются..."
"The gates to ANGBAND are now closed."	"Врата в ANGBAND закрыты."
"The ground shakes for a moment."	"Земля вздрагивает и вскоре затихает."
"The heroism wears off."	"Героизм кончился."
"The 'lib' directory is probably missing or broken.\n"	"Каталог 'lib', вероятно, отсутствует или испорчен.\n"
"The object resists the spell."	"Предмет сопротивляется заклинанию."
"The poison does not affect you!"	"Яд не действует на вас!"
"The potion makes you vomit!"	"Вя-а-а! Вас стошнило!"
"the power of telepathy"	"силу телепатии"
"The power of your god banishes evil!"	"Сила Бога изгоняет зло!"
"The prayer has expired."	"Действие молитвы закончилось."
"There are %d charge%s remaining."	"Осталось зарядов: %d."
"There is a bright flash of light!"	"Вы видите яркую вспышку!"
"There is a bright flash of light."	"Вы видите яркую вспышку."
"There is a door blocking your way."	"Вы уперлись в дверь."
"There is a door in the way!"	"Вы уперлись в дверь!"
"There is a high pitched humming noise."	"Вы слышите громкий противный звук."
"There is a monster in the way!"	"На пути монстр!"
"There is a pile of rubble blocking your way."	"Вы уперлись в кучу мусора."
"There is a pile of rubble in the way!"	"Вы уперлись в кучу мусора!"
"There is a puff of smoke!"	"Вор исчезает в клубе дыма!"
"There is a searing blast of light!"	"Вы видите ослепительную вспышку!"
"There is a sudden explosion!"	"Внезапно происходит взрыв!"
"There is a wall blocking your way."	"Вы уперлись в стену."
"There is a wall in the way!"	"Вы уперлись в стену!"
"There was something buried in the rubble!"	"В нем что-то было закопано!"
"The rod is still charging"	"Жезл все еще заряжается."
"The rods are all still charging"	"Все жезлы все еще заряжаются."
"The rubble turns into mud!"	"Мусор расплавляется!"
"The rune of protection is broken!"	"Руна защиты сломана!"
"The %s disappear%s."	"%s исчеза%cт."
"The %s finds a mark."	"%s попадает во что-то."
"The %s floods the area with goodness..."	"%s заполняет подземелье добром..."
"The %s glows a deep green..."	"%s светится глубоким зеленым..."
"The %s glows brightly..."	"%s ярко светится..."
"The %s glows bright white..."	"%s светится ярко-белым..."
"The %s glows deep blue..."	"%s светится глубоким синим..."
"The %s glows deep red..."	"%s светится глубоким красным..."
"The %s glows intensely black..."	"%s светится черным..."
"The %s has recharged."	"%^s перезарядились."
"The %s hits %s."	"%s попадает в %s."
"The shopkeeper brings out some new stock."	"Продавец приносит новые товары."
"The shopkeeper curses at you."	"Продавец проклинает вас."
"The shopkeeper giggles."	"Продавец ухмыляется."
"The shopkeeper glares at you."	"Продавец смотрит на вас с ненавистью."
"The shopkeeper howls in agony!"	"Продавец рвет волосы!"
"The shopkeeper jumps for joy."	"Продавец прыгает от счастья."
"The shopkeeper laughs loudly."	"Продавец громко смеется."
"The shopkeeper retires."	"Продавец увольняется."
"The shopkeeper smiles gleefully."	"Продавец рыдает от счастья."
"The %s lets out a shrill wail..."	"%s издает протяжный стон..."
"     The %s\n"	"     %s\n"
"The %s"	"%s"
"The %s shines brightly..."	"%s ярко сверкает..."
"The %s%s"	"%s%s"
"The %s %s unaffected!"	"%s не воздействован%s!"
"The staff glows blue for a moment..."	"Посох светится синим светом..."
"The staff has no charges left."	"В посохе кончились заряды."
"the strain of casting Banishment"	"напряжение Изгнания"
"the strain of casting Mass Banishment"	"напряжение Массового Изгнания"
"The sun has fallen."	"Зашло солнце."
"The sun has risen."	"Взошло солнце."
"The %s wells with clear light..."	"%s озаряется чистым светом..."
"The %s you are %s appears to be cursed."	"Похоже, что ваш%s %s проклят%s."
"The vein turns into mud!"	"Жила расплавляется!"
"The wall turns into mud!"	"Стена расплавляется!"
"The wand has no charges left."	"В палочке кончились заряды."
"The weight of your armor encumbers your movement."	"Вес ваших доспехов стесняет ваши движения."
"The world changes!"	"Мир изменяется!"
"They are "	"Они находятся "
"This is a form of cheating, and your game will not be scored!"	"Это форма читерства, и ваш счет не будет засчитан!"
"This level can't be all bad..."	"Этот уровень не так уж плох..."
"This seems to be permanent rock."	"Через такой камень копать нельзя."
"This"	"Это%s"
"throw boulders"	"метать валуны"
"Throw which item? "	"Бросить какой предмет? "
"time"	"временем"
"Title"	"Титул"
"TODAY"	"- сегодня"
" to digging"	" к копанию"
" to infravision"	" к инфразрению"
"Too many (%d) monster entries!"	"Слишком много (%d) монстров!"
"Too many (%d) object entries!"	"Слишком много (%d) предметов!"
"Too many items in the inventory!"	"Слишком много предметов в инвентаре!"
"Too many monsters!"	"Слишком много монстров!"
"Too many objects!"	"Слишком много объектов!"
"Too many player spells (%d)."	"Слишком много заклинаний (%d)."
"Too many (%u) artifacts!"	"Слишком много (%u) артефактов!"
"Too many (%u) hitpoint entries!"	"Слишком много (%u) описаний здоровья!"
"Too many (%u) monster races!"	"Слишком много (%u) рас монстров!"
"Too many (%u) object kinds!"	"Слишком много (%u) видов предметов!"
"Too many (%u) quests!"	"Слишком много (%u) квестов!"
"Too many (%u) random artifacts!"	"Слишком много (%u) случайных артефактов!"
"' to quit."	"' для выхода."
"' to restart the character selection, '"	"' - начать сначала, '"
" to scroll the menu, "	" для прокрутки меню, "
" to searching"	" к поиску"
" * to see,"	" * для просм.,"
" to select the current menu item, '"	" для выбора, '"
" to speed"	" к скорости"
" to stealth"	" к скрытности"
"Total Cost %2d/48.  Use 2/8 to move, 4/6 to modify, 'Enter' to accept."	"Общая цена %2d/48.  2/8 - движение, 4/6 - изменение, 'Enter' - принять."
"touches you."	"касается вас."
"touch"	"касаться"
"Town"	"Город"
" to "	" для "
"Trap/Door Destruction"	"Разрушение Ловушки/Двери"
" treasure"	" cокровищ"
"$:Treasure (gold or gems)"	"$:Сокровища (золото или драгоценности)"
"tried"	"испробовано"
"Trigger: "	"Кнопка: "
"trolls"	"троллей"
" troll"	" тролль"
"Try again."	"Не будем ссориться."
"Try %s? "	"Взять %s? "
"Try"	"Использовать"
"t:Townsperson"	"t:Горожанин"
"T:Troll"	"T:Тролль"
"tunneling"	"способность к копанию"
"Tunn.:"	"Копан:"
" turns of light)"	" ходами света)"
"Turn Stone to Mud"	"Плавка Камня"
"Turn Undead"	"Устрашение Мертвецов"
"Type '?' for help."	"Нажмите '?' для справки."
"ugly"	"уродливым"
"U:Major Demon"	"U:Большой Демон"
"Umber"	"Коричневый"
"u:Minor Demon"	"u:Малый Демон"
"Unable to read inventory"	"Не удалось прочитать инвентарь"
"Unbarring Ways"	"Открытые Пути"
"uncursed"	"раз-проклятый"
" undead"	" живой мертвец"
"undead"	"живых мертвецов"
"unhurt"	"не ранен%s"
"Un-inscribe which item? "	"Стереть надпись с какого предмета? "
"Unique monster list."	"Список уникальных монстров."
"Uniques: %d known, %d killed"	"Уникальные монстры: %d известно, %d убито"
"Unique (%s)."	"Уникальный монстр (%s)."
"unknown grid"	"неизвестная клетка"
" unknown"	" неизвестно"
" (unlocked)"	" (взломан)"
" untried"	" не испытано"
"(Unused option)"	"(Не используется)"
"Updating Shops..."	"Обновление магазинов..."
" up to %d"	" до %d"
"Use old target by default"	"Использовать старую цель по умолчанию"
"User Interface Options"	"Интерфейс"
"               (User %s, Date %s, Gold %s, Turn %s)."	"               (польз. %s, дата %s, золота %s, ход %s)."
"Use special colors for field of view"	"Специальные цвета для поля зрения"
"Use special colors for floor grids"	"Специальные цвета для пола"
"Use special colors for torch lite"	"Специальные цвета для факела"
"Use special colors for wall grids"	"Специальные цвета для стен"
"Use the online help files instead."	"Используйте встроенную справку игры (нажмите \"
"Use the "	"Используйте "
"Use which book? "	"Использовать какую книгу? "
"Use which staff? "	"Использовать какой посох? "
"using to light the way"	"используете для освещения:"
"Various"	"Прочее"
"Verify destruction of objects"	"Подтверждать уничтожение предметов"
"Verify use of special commands"	"Подтверждать специальные команды"
"Very Bad"	"Очень плохо"
"Very Good"	"Оч. хорошо"
" very"	" очень"
"Violet"	"Фиолетовый"
"V:Vampire"	"V:Вампир"
